Index,Petal length,Petal width,Class
1,4.7,1.4,Iris-versicolor
2,4.5,1.5,Iris-versicolor
3,4.9,1.5,Iris-versicolor
4,4,1.3,Iris-versicolor
5,4.6,1.5,Iris-versicolor
6,4.5,1.3,Iris-versicolor
7,4.7,1.6,Iris-versicolor
8,3.3,1,Iris-versicolor
9,4.6,1.3,Iris-versicolor
10,3.9,1.4,Iris-versicolor
11,3.5,1,Iris-versicolor
12,4.2,1.5,Iris-versicolor
13,4,1,Iris-versicolor
14,4.7,1.4,Iris-versicolor
15,3.6,1.3,Iris-versicolor
16,4.4,1.4,Iris-versicolor
17,4.5,1.5,Iris-versicolor
18,4.1,1,Iris-versicolor
19,4.5,1.5,Iris-versicolor
20,3.9,1.1,Iris-versicolor
21,4.8,1.8,Iris-versicolor
22,4,1.3,Iris-versicolor
23,4.9,1.5,Iris-versicolor
24,4.7,1.2,Iris-versicolor
25,4.3,1.3,Iris-versicolor
26,4.4,1.4,Iris-versicolor
27,4.8,1.4,Iris-versicolor
28,5,1.7,Iris-versicolor
29,4.5,1.5,Iris-versicolor
30,3.5,1,Iris-versicolor
31,3.8,1.1,Iris-versicolor
32,3.7,1,Iris-versicolor
33,3.9,1.2,Iris-versicolor
34,5.1,1.6,Iris-versicolor
35,4.5,1.5,Iris-versicolor
36,4.5,1.6,Iris-versicolor
37,4.7,1.5,Iris-versicolor
38,4.4,1.3,Iris-versicolor
39,4.1,1.3,Iris-versicolor
40,4,1.3,Iris-versicolor
41,4.4,1.2,Iris-versicolor
42,4.6,1.4,Iris-versicolor
43,4,1.2,Iris-versicolor
44,3.3,1,Iris-versicolor
45,4.2,1.3,Iris-versicolor
46,4.2,1.2,Iris-versicolor
47,4.2,1.3,Iris-versicolor
48,4.3,1.3,Iris-versicolor
49,3,1.1,Iris-versicolor
50,4.1,1.3,Iris-versicolor
51,6,2.5,Iris-virginica
52,5.1,1.9,Iris-virginica
53,5.9,2.1,Iris-virginica
54,5.6,1.8,Iris-virginica
55,5.8,2.2,Iris-virginica
56,6.6,2.1,Iris-virginica
57,4.5,1.7,Iris-virginica
58,6.3,1.8,Iris-virginica
59,5.8,1.8,Iris-virginica
60,6.1,2.5,Iris-virginica
61,5.1,2,Iris-virginica
62,5.3,1.9,Iris-virginica
63,5.5,2.1,Iris-virginica
64,5,2,Iris-virginica
65,5.1,2.4,Iris-virginica
66,5.3,2.3,Iris-virginica
67,5.5,1.8,Iris-virginica
68,6.7,2.2,Iris-virginica
69,6.9,2.3,Iris-virginica
70,5,1.5,Iris-virginica
71,5.7,2.3,Iris-virginica
72,4.9,2,Iris-virginica
73,6.7,2,Iris-virginica
74,4.9,1.8,Iris-virginica
75,5.7,2.1,Iris-virginica
76,6,1.8,Iris-virginica
77,4.8,1.8,Iris-virginica
78,4.9,1.8,Iris-virginica
79,5.6,2.1,Iris-virginica
80,5.8,1.6,Iris-virginica
81,6.1,1.9,Iris-virginica
82,6.4,2,Iris-virginica
83,5.6,2.2,Iris-virginica
84,5.1,1.5,Iris-virginica
85,5.6,1.4,Iris-virginica
86,6.1,2.3,Iris-virginica
87,5.6,2.4,Iris-virginica
88,5.5,1.8,Iris-virginica
89,4.8,1.8,Iris-virginica
90,5.4,2.1,Iris-virginica
91,5.6,2.4,Iris-virginica
92,5.1,2.3,Iris-virginica
93,5.1,1.9,Iris-virginica
94,5.9,2.3,Iris-virginica
95,5.7,2.5,Iris-virginica
96,5.2,2.3,Iris-virginica
97,5,1.9,Iris-virginica
98,5.2,2,Iris-virginica
99,5.4,2.3,Iris-virginica
100,5.1,1.8,Iris-virginica
